"subject","trial","trait","observed_score","counterfactual_0","counterfactual_20","counterfactual_40","counterfactual_60","counterfactual_80","counterfactual_100","total_failed_attention_checks"
17,26,"agreeableness",60,10,29,55,NA,79,62,0
17,27,"extraversion",20,73,NA,78,45,25,20,0
17,28,"openness",80,5,11,23,69,NA,78,0
17,29,"openness",40,29,60,NA,74,30,14,0
17,30,"openness",20,75,NA,83,58,28,13,0
18,1,"agreeableness",0,NA,60,29,16,2,0,0
18,2,"extraversion",40,0,13,NA,50,70,11,0
18,3,"agreeableness",40,30,42,NA,45,10,0,0
18,4,"conscientiousness",100,0,0,21,40,84,NA,0
18,5,"extraversion",20,100,NA,100,49,22,0,0
18,6,"openness",80,1,1,2,88,NA,83,0
18,7,"openness",0,NA,73,74,2,0,0,0
18,8,"openness",40,65,77,NA,80,18,0,0
18,9,"agreeableness",60,0,8,42,NA,50,11,0
18,10,"openness",20,46,NA,46,14,9,0,0
18,11,"neuroticism",40,0,19,NA,39,3,1,0
18,12,"conscientiousness",20,100,NA,77,52,28,0,0
18,13,"neuroticism",0,NA,16,9,0,0,0,0
18,14,"conscientiousness",0,NA,12,9,0,0,0,0
18,15,"agreeableness",100,0,0,0,40,93,NA,0
18,16,"extraversion",100,0,0,0,40,90,NA,0
18,17,"openness",60,0,0,41,NA,56,31,0
18,18,"agreeableness",20,12,NA,13,3,0,0,0
18,19,"neuroticism",100,0,0,0,41,63,NA,0
18,20,"extraversion",80,0,0,23,89,NA,100,0
18,21,"neuroticism",60,0,0,40,NA,40,27,0
18,22,"extraversion",0,NA,9,0,0,0,0,0
18,23,"conscientiousness",40,0,34,NA,25,0,1,0
18,24,"neuroticism",80,0,0,21,34,NA,48,0
18,25,"neuroticism",20,11,NA,11,3,0,0,0
18,26,"extraversion",60,1,0,30,NA,49,21,0
18,27,"conscientiousness",80,0,0,30,56,NA,46,0
18,28,"openness",100,0,0,1,51,88,NA,0
18,29,"conscientiousness",60,0,0,31,NA,70,61,0
18,30,"agreeableness",80,0,0,41,71,NA,90,0
19,1,"extraversion",80,4,3,20,59,NA,60,0
19,2,"neuroticism",40,12,50,NA,45,6,2,0
19,3,"agreeableness",40,0,55,NA,50,12,0,0
19,4,"conscientiousness",0,NA,70,11,6,0,0,0
19,5,"openness",100,1,2,10,50,88,NA,0
19,6,"neuroticism",0,NA,88,40,11,6,0,0
19,7,"openness",0,NA,88,40,11,3,1,0
19,8,"conscientiousness",100,0,4,11,39,78,NA,0
19,9,"openness",60,0,20,58,NA,72,10,0
19,10,"extraversion",100,0,3,11,39,84,NA,0
19,11,"extraversion",20,55,NA,52,11,4,0,0
19,12,"extraversion",40,6,49,NA,63,10,0,0
19,13,"conscientiousness",60,0,11,49,NA,69,11,0
19,14,"agreeableness",80,0,4,10,44,NA,50,0
19,15,"conscientiousness",40,5,50,NA,59,20,0,0
19,16,"neuroticism",60,0,10,56,NA,69,0,0
19,17,"conscientiousness",20,59,NA,52,11,5,0,0
19,18,"conscientiousness",80,0,2,6,50,NA,69,0
19,19,"agreeableness",60,0,4,54,NA,68,1,0
19,20,"extraversion",60,0,4,68,NA,65,0,0
19,21,"agreeableness",20,45,NA,31,12,0,0,0
19,22,"extraversion",0,NA,79,49,5,5,0,0
19,23,"openness",40,11,69,NA,55,20,11,0
19,24,"neuroticism",100,0,11,40,60,84,NA,0
19,25,"openness",80,0,8,29,74,NA,59,0
19,26,"agreeableness",0,NA,89,49,3,0,0,0
19,27,"openness",20,83,NA,30,4,0,0,0
19,28,"neuroticism",20,79,NA,31,11,0,0,0
19,29,"neuroticism",80,0,11,25,63,NA,30,0
19,30,"agreeableness",100,2,10,26,62,83,NA,0
20,1,"extraversion",40,10,22,NA,49,20,21,0
20,2,"neuroticism",80,11,13,27,71,NA,69,0
20,3,"conscientiousness",80,4,12,21,69,NA,79,0
20,4,"neuroticism",100,8,6,51,83,89,NA,0
20,5,"extraversion",0,NA,14,7,1,0,0,0
20,6,"extraversion",80,0,5,9,57,NA,67,0
20,7,"conscientiousness",0,NA,4,0,0,0,0,0
20,8,"agreeableness",80,0,3,5,21,NA,45,0
20,9,"agreeableness",100,0,3,5,26,39,NA,0
20,10,"conscientiousness",20,15,NA,9,6,2,0,0
20,11,"openness",100,0,9,19,35,63,NA,0
20,12,"agreeableness",60,5,30,49,NA,26,11,0
20,13,"openness",40,8,28,NA,34,26,7,0
20,14,"openness",20,36,NA,31,20,14,5,0
20,15,"conscientiousness",100,2,22,47,65,91,NA,0
20,16,"conscientiousness",40,8,23,NA,33,20,6,0
20,17,"openness",80,5,14,27,52,NA,72,0
20,18,"neuroticism",20,54,NA,40,29,14,4,0
20,19,"openness",0,NA,62,50,40,25,0,0
20,20,"conscientiousness",60,13,31,42,NA,33,17,0
20,21,"extraversion",100,2,12,27,50,77,NA,0
20,22,"neuroticism",60,13,48,71,NA,39,14,0
20,23,"agreeableness",40,18,49,NA,70,48,21,0
20,24,"openness",60,20,47,71,NA,53,22,0
20,25,"agreeableness",0,NA,80,61,38,13,3,0
20,26,"extraversion",60,13,41,60,NA,40,15,0
20,27,"neuroticism",40,11,43,NA,65,49,19,0
20,28,"neuroticism",0,NA,61,46,27,13,5,0
20,29,"agreeableness",20,65,NA,44,32,22,4,0
20,30,"extraversion",20,71,NA,57,43,23,7,0
21,1,"extraversion",80,4,15,39,86,NA,52,0
21,2,"openness",20,72,NA,65,16,11,3,0
21,3,"openness",40,20,69,NA,81,45,11,0
21,4,"conscientiousness",20,19,NA,54,41,27,7,0
21,5,"conscientiousness",0,NA,92,75,31,17,6,0
21,6,"neuroticism",60,3,27,82,NA,89,43,0
21,7,"conscientiousness",100,2,9,25,61,87,NA,0
21,8,"openness",100,4,13,22,51,81,NA,0
21,9,"extraversion",40,19,85,NA,78,49,10,0
21,10,"extraversion",0,NA,92,71,33,20,5,0
21,11,"extraversion",100,1,10,29,63,91,NA,0
21,12,"neuroticism",80,3,11,31,89,NA,71,0
21,13,"conscientiousness",40,19,60,NA,68,49,8,0
21,14,"neuroticism",100,2,10,18,80,93,NA,0
21,15,"extraversion",60,2,21,66,NA,77,45,0
21,16,"agreeableness",60,8,26,75,NA,73,42,0
21,17,"extraversion",20,78,NA,90,49,31,10,0
21,18,"conscientiousness",60,4,16,59,NA,79,23,0
21,19,"agreeableness",80,4,15,45,87,NA,83,0
21,20,"openness",80,4,17,40,77,NA,75,0
21,21,"agreeableness",0,NA,95,81,56,39,0,0
21,22,"agreeableness",100,2,16,19,74,90,NA,0
21,23,"openness",60,3,19,66,NA,73,43,0
21,24,"openness",0,NA,94,69,50,24,1,0
21,25,"agreeableness",40,28,78,NA,63,42,12,0
21,26,"neuroticism",0,NA,76,65,46,32,4,0
21,27,"neuroticism",40,58,78,NA,80,19,4,0
21,28,"neuroticism",20,81,NA,82,58,35,18,0
21,29,"conscientiousness",80,2,17,42,70,NA,67,0
21,30,"agreeableness",20,81,NA,87,67,49,11,0
22,1,"openness",20,54,NA,35,10,0,0,0
22,2,"conscientiousness",60,0,0,30,NA,60,11,0
22,3,"conscientiousness",20,21,NA,50,25,5,0,0
22,4,"openness",40,0,16,NA,69,16,0,0
22,5,"openness",100,0,0,0,5,95,NA,0
22,6,"openness",80,0,0,0,49,NA,49,0
22,7,"neuroticism",20,45,NA,50,5,0,0,0
22,8,"neuroticism",100,0,0,0,0,6,NA,0
22,9,"agreeableness",40,45,70,NA,11,0,0,0
22,10,"neuroticism",40,21,50,NA,21,0,0,0
22,11,"extraversion",0,NA,15,1,0,0,0,0
22,12,"agreeableness",0,NA,11,0,0,0,0,0
22,13,"agreeableness",80,0,0,0,25,NA,30,0
22,14,"openness",0,NA,20,1,0,0,0,0
22,15,"neuroticism",60,0,0,27,NA,56,11,0
22,16,"agreeableness",100,0,0,0,16,45,NA,0
22,17,"extraversion",60,0,0,20,NA,50,5,0
22,18,"extraversion",40,0,26,NA,30,0,0,0
22,19,"conscientiousness",100,0,0,0,32,62,NA,0
22,20,"conscientiousness",80,0,0,3,46,NA,34,0
22,21,"conscientiousness",40,0,37,NA,36,1,0,0
22,22,"neuroticism",0,NA,16,5,0,0,0,0
22,23,"neuroticism",80,0,0,0,18,NA,56,0
22,24,"extraversion",100,0,0,0,7,74,NA,0
22,25,"agreeableness",20,36,NA,29,0,0,0,0
22,26,"agreeableness",60,0,5,43,NA,35,0,0
22,27,"conscientiousness",0,NA,28,3,0,0,0,0
22,28,"openness",60,0,8,37,NA,33,0,0
22,29,"extraversion",80,0,0,3,37,NA,46,0
22,30,"extraversion",20,46,NA,32,0,0,0,0
23,1,"openness",40,0,0,NA,49,20,0,0
23,2,"agreeableness",100,0,0,0,59,100,NA,0
23,3,"conscientiousness",20,49,NA,21,20,0,0,0
23,4,"neuroticism",20,50,NA,78,59,12,0,0
23,5,"agreeableness",0,NA,79,50,0,0,0,0
23,6,"openness",0,NA,90,79,0,1,0,0
23,7,"neuroticism",40,0,50,NA,0,0,0,0
23,8,"conscientiousness",100,0,0,0,49,82,NA,0
23,9,"conscientiousness",80,0,0,0,49,NA,88,0
23,10,"conscientiousness",40,0,39,NA,39,0,0,0
23,11,"agreeableness",60,0,0,60,NA,58,24,0
23,12,"conscientiousness",60,0,0,59,NA,59,24,0
23,13,"openness",100,0,0,0,0,88,NA,0
23,14,"extraversion",60,0,0,63,NA,63,0,0
23,15,"agreeableness",40,0,49,NA,49,0,0,0
23,16,"openness",80,0,0,0,69,NA,69,0
23,17,"openness",60,0,0,63,NA,65,0,0
23,18,"agreeableness",80,0,0,0,63,NA,65,0
23,19,"neuroticism",60,0,0,63,NA,65,26,0
23,20,"neuroticism",80,0,0,0,69,NA,71,0
23,21,"openness",20,69,NA,70,29,0,0,0
23,22,"extraversion",20,67,NA,67,22,0,0,0
23,23,"extraversion",40,27,68,NA,68,27,0,0
23,24,"neuroticism",100,0,0,0,39,79,NA,0
23,25,"agreeableness",20,70,NA,69,31,0,0,0
23,26,"extraversion",0,NA,65,48,21,0,0,0
23,27,"neuroticism",0,NA,67,40,20,0,0,0
23,28,"conscientiousness",0,NA,63,39,0,0,0,0
23,29,"extraversion",80,0,0,0,68,NA,71,0
23,30,"extraversion",100,0,0,0,40,72,NA,0
24,1,"conscientiousness",0,NA,79,59,40,20,5,0
24,2,"neuroticism",100,4,11,16,21,25,NA,0
24,3,"agreeableness",20,30,NA,50,40,30,20,0
24,4,"extraversion",0,NA,50,39,30,21,11,0
24,5,"extraversion",80,10,21,30,50,NA,50,0
24,6,"agreeableness",80,11,17,30,49,NA,49,0
24,7,"agreeableness",0,NA,49,40,20,10,0,0
24,8,"conscientiousness",60,10,21,50,NA,49,25,0
24,9,"agreeableness",60,0,20,50,NA,49,0,0
24,10,"extraversion",100,0,10,25,30,50,NA,0
24,11,"conscientiousness",100,0,0,20,30,64,NA,0
24,12,"neuroticism",20,50,NA,50,25,15,11,0
24,13,"neuroticism",40,20,50,NA,50,30,11,0
24,14,"openness",60,11,30,50,NA,49,11,0
24,15,"conscientiousness",20,50,NA,50,10,4,0,0
24,16,"openness",100,0,0,11,20,50,NA,0
24,17,"openness",20,50,NA,50,35,15,0,0
24,18,"conscientiousness",80,0,0,20,50,NA,55,0
24,19,"agreeableness",40,11,50,NA,54,30,20,0
24,20,"agreeableness",100,0,0,0,20,50,NA,0
24,21,"extraversion",40,11,50,NA,50,40,25,0
24,22,"extraversion",60,0,21,50,NA,50,35,0
24,23,"openness",40,11,50,NA,50,30,11,0
24,24,"openness",80,0,0,11,44,NA,55,0
24,25,"openness",0,NA,65,0,0,0,0,0
24,26,"neuroticism",0,NA,50,11,0,0,0,0
24,27,"conscientiousness",40,10,50,NA,50,30,20,0
24,28,"neuroticism",80,0,0,20,50,NA,55,0
24,29,"extraversion",20,49,NA,56,11,0,0,0
24,30,"neuroticism",60,0,11,49,NA,55,11,0
25,1,"extraversion",20,80,NA,64,23,7,3,0
25,2,"neuroticism",20,71,NA,67,30,17,1,0
25,3,"conscientiousness",60,20,46,74,NA,73,12,0
25,4,"agreeableness",0,NA,59,20,3,0,0,0
25,5,"neuroticism",0,NA,77,41,17,6,0,0
25,6,"conscientiousness",40,24,60,NA,60,24,1,0
25,7,"agreeableness",80,0,26,51,79,NA,84,0
25,8,"extraversion",40,6,57,NA,74,44,13,0
25,9,"openness",80,4,12,31,72,NA,63,0
25,10,"conscientiousness",100,2,21,45,73,93,NA,0
25,11,"agreeableness",100,1,11,53,67,84,NA,0
25,12,"extraversion",80,6,22,58,77,NA,66,0
25,13,"conscientiousness",20,73,NA,71,58,22,6,0
25,14,"neuroticism",40,3,69,NA,77,70,5,0
25,15,"extraversion",0,NA,47,16,9,4,0,0
25,16,"agreeableness",60,0,16,90,NA,88,52,0
25,17,"agreeableness",40,0,68,NA,71,63,28,0
25,18,"openness",20,41,NA,59,30,11,2,0
25,19,"neuroticism",60,3,60,82,NA,83,55,0
25,20,"openness",60,0,27,58,NA,57,17,0
25,21,"extraversion",60,6,50,63,NA,65,27,0
25,22,"extraversion",100,0,7,32,70,81,NA,0
25,23,"openness",40,14,68,NA,77,44,13,0
25,24,"neuroticism",80,6,31,56,79,NA,80,0
25,25,"conscientiousness",80,1,15,46,74,NA,73,0
25,26,"openness",100,2,14,38,63,88,NA,0
25,27,"agreeableness",20,41,NA,68,36,22,3,0
25,28,"conscientiousness",0,NA,38,24,6,6,1,0
25,29,"neuroticism",100,0,30,60,76,87,NA,0
25,30,"openness",0,NA,25,20,13,5,0,0
26,1,"openness",40,49,29,NA,69,79,100,0
26,2,"neuroticism",60,0,11,29,NA,60,69,0
26,3,"conscientiousness",100,9,30,58,78,100,NA,0
26,4,"conscientiousness",40,0,40,NA,70,79,79,0
26,5,"neuroticism",0,NA,0,0,0,0,0,0
26,6,"agreeableness",60,0,11,31,NA,79,88,0
26,7,"agreeableness",40,0,10,NA,57,70,78,0
26,8,"extraversion",40,0,10,NA,51,60,61,0
26,9,"openness",80,0,0,10,58,NA,81,0
26,10,"openness",0,NA,3,0,0,0,0,0
26,11,"openness",60,0,0,10,NA,67,74,0
26,12,"neuroticism",100,0,50,40,31,21,NA,0
26,13,"extraversion",0,NA,68,39,30,20,0,0
26,14,"extraversion",80,0,3,10,32,NA,88,0
26,15,"neuroticism",20,88,NA,1,2,1,0,0
26,16,"conscientiousness",80,0,0,0,10,NA,79,0
26,17,"extraversion",20,0,NA,19,38,52,70,0
26,18,"neuroticism",80,0,11,59,78,NA,89,0
26,19,"agreeableness",20,0,NA,60,49,39,20,0
26,20,"neuroticism",40,0,70,NA,50,40,10,0
26,21,"conscientiousness",60,0,10,60,NA,70,50,0
26,22,"extraversion",60,0,10,30,NA,60,41,0
26,23,"agreeableness",100,0,10,20,60,79,NA,0
26,24,"openness",20,50,NA,60,39,19,8,0
26,25,"openness",100,0,10,21,57,89,NA,0
26,26,"agreeableness",0,NA,87,50,28,21,0,0
26,27,"agreeableness",80,0,11,22,69,NA,87,0
26,28,"conscientiousness",20,82,NA,80,50,21,0,0
26,29,"extraversion",100,0,10,11,96,80,NA,0
26,30,"conscientiousness",0,NA,78,30,19,11,0,0
27,1,"openness",60,2,1,65,NA,46,3,0
27,2,"conscientiousness",80,2,1,2,89,NA,11,0
27,3,"openness",40,3,50,NA,50,0,0,0
27,4,"extraversion",0,NA,80,20,1,1,1,0
27,5,"neuroticism",60,1,1,50,NA,49,0,0
27,6,"extraversion",60,1,1,50,NA,50,1,0
27,7,"conscientiousness",0,NA,79,5,0,0,0,0
27,8,"agreeableness",40,0,39,NA,59,2,2,0
27,9,"neuroticism",40,0,49,NA,50,1,0,0
27,10,"extraversion",20,40,NA,60,0,0,1,0
27,11,"agreeableness",100,0,0,0,0,100,NA,0
27,12,"neuroticism",0,NA,100,5,5,0,0,0
27,13,"agreeableness",20,21,NA,80,1,1,1,0
27,14,"neuroticism",80,0,0,0,72,NA,30,0
27,15,"openness",100,0,0,0,12,88,NA,0
27,16,"conscientiousness",60,0,0,49,NA,50,0,0
27,17,"neuroticism",100,0,0,0,20,78,NA,0
27,18,"conscientiousness",100,0,0,1,20,78,NA,0
27,19,"extraversion",100,0,0,0,22,79,NA,0
27,20,"neuroticism",20,29,NA,69,0,0,1,0
27,21,"openness",20,30,NA,60,0,0,0,0
27,22,"agreeableness",0,NA,79,20,0,0,0,0
27,23,"openness",80,0,1,0,80,NA,20,0
27,24,"conscientiousness",20,51,NA,51,0,0,0,0
27,25,"agreeableness",60,0,0,49,NA,50,0,0
27,26,"agreeableness",80,0,0,0,78,NA,11,0
27,27,"openness",0,NA,78,30,0,0,0,0
27,28,"extraversion",80,0,0,0,89,NA,10,0
27,29,"extraversion",40,0,48,NA,50,0,0,0
27,30,"conscientiousness",40,0,40,NA,60,0,0,0
28,1,"extraversion",0,NA,60,39,20,10,0,0
28,2,"conscientiousness",0,NA,60,41,21,11,0,0
28,3,"conscientiousness",100,0,20,41,68,89,NA,0
28,4,"conscientiousness",60,21,31,48,NA,57,70,0
28,5,"agreeableness",40,32,50,NA,88,68,34,0
28,6,"openness",80,14,29,51,70,NA,80,0
28,7,"agreeableness",100,0,14,29,65,100,NA,0
28,8,"agreeableness",20,88,NA,60,37,19,0,0
28,9,"extraversion",100,0,11,32,60,88,NA,0
28,10,"neuroticism",80,20,28,50,68,NA,90,0
28,11,"conscientiousness",80,20,32,50,68,NA,90,0
28,12,"openness",20,88,NA,70,50,32,11,0
28,13,"extraversion",40,58,89,NA,72,41,18,0
28,14,"openness",60,20,29,88,NA,78,46,0
28,15,"extraversion",60,19,48,87,NA,79,49,0
28,16,"extraversion",80,19,31,55,88,NA,78,0
28,17,"extraversion",20,88,NA,71,54,29,7,0
28,18,"neuroticism",20,89,NA,70,49,29,11,0
28,19,"neuroticism",0,NA,89,68,49,23,0,0
28,20,"neuroticism",100,0,11,31,64,88,NA,0
28,21,"agreeableness",80,15,28,50,88,NA,75,0
28,22,"conscientiousness",40,43,88,NA,77,54,21,0
28,23,"agreeableness",0,NA,88,68,48,30,0,0
28,24,"openness",100,0,19,40,66,89,NA,0
28,25,"neuroticism",40,37,87,NA,74,53,25,0
28,26,"agreeableness",60,25,45,88,NA,75,51,0
28,27,"openness",40,26,53,NA,88,75,16,0
28,28,"conscientiousness",20,89,NA,73,50,29,11,0
28,29,"neuroticism",60,27,43,88,NA,73,49,0
28,30,"openness",0,NA,91,76,53,24,0,0
29,1,"neuroticism",20,20,NA,58,16,3,8,0
29,2,"conscientiousness",20,72,NA,28,13,35,50,0
29,3,"agreeableness",0,NA,17,30,38,23,44,0
29,4,"agreeableness",40,68,48,NA,48,37,50,0
29,5,"agreeableness",80,85,7,62,91,NA,97,0
29,6,"agreeableness",60,2,88,74,NA,79,85,0
29,7,"conscientiousness",60,5,8,51,NA,87,85,0
29,8,"neuroticism",100,11,5,27,85,94,NA,0
29,9,"conscientiousness",40,7,4,NA,37,86,96,0
29,10,"conscientiousness",80,5,14,15,43,NA,96,0
29,11,"openness",80,1,21,57,63,NA,75,0
29,12,"neuroticism",60,8,11,16,NA,59,84,0
29,13,"openness",0,NA,4,10,9,89,96,0
29,14,"openness",40,16,35,NA,55,21,32,0
29,15,"neuroticism",0,NA,1,14,45,63,54,0
29,16,"extraversion",60,6,23,13,NA,69,83,0
29,17,"agreeableness",20,5,NA,17,46,50,90,0
29,18,"extraversion",100,10,8,23,77,98,NA,0
29,19,"openness",20,2,NA,88,96,86,99,0
29,20,"conscientiousness",100,2,15,19,99,96,NA,0
29,21,"extraversion",20,11,NA,29,20,28,29,0
29,22,"extraversion",80,14,16,11,50,NA,97,0
29,23,"extraversion",0,NA,14,9,7,24,24,0
29,24,"neuroticism",40,10,28,NA,37,21,87,0
29,25,"agreeableness",100,5,55,58,68,91,NA,0
29,26,"extraversion",40,13,15,NA,11,54,95,0
29,27,"openness",60,4,44,63,NA,54,92,0
29,28,"conscientiousness",0,NA,95,17,10,3,7,0
29,29,"openness",100,8,10,10,92,95,NA,0
29,30,"neuroticism",80,3,6,12,50,NA,99,0
30,1,"agreeableness",80,88,80,58,52,NA,32,0
30,2,"openness",100,100,86,66,67,58,NA,0
30,3,"extraversion",60,48,38,51,NA,50,48,0
30,4,"agreeableness",60,57,49,52,NA,46,50,0
30,5,"conscientiousness",40,56,46,NA,49,49,50,0
30,6,"extraversion",20,16,NA,25,41,54,48,0
30,7,"agreeableness",40,27,29,NA,40,30,33,0
30,8,"conscientiousness",20,44,NA,32,30,20,18,0
30,9,"neuroticism",20,20,NA,20,20,20,21,0
30,10,"openness",0,NA,34,35,33,29,11,0
30,11,"agreeableness",0,NA,53,16,20,21,20,0
30,12,"neuroticism",60,23,38,36,NA,36,44,0
30,13,"openness",40,30,44,NA,30,31,30,0
30,14,"openness",80,15,18,20,30,NA,48,0
30,15,"openness",20,17,NA,30,30,19,31,0
30,16,"conscientiousness",0,NA,43,30,44,26,26,0
30,17,"agreeableness",100,10,14,15,14,15,NA,0
30,18,"extraversion",0,NA,22,20,20,29,17,0
30,19,"extraversion",40,30,41,NA,46,28,33,0
30,20,"neuroticism",80,47,31,44,37,NA,39,0
30,21,"neuroticism",0,NA,31,42,36,40,39,0
30,22,"conscientiousness",80,35,37,48,29,NA,37,0
30,23,"neuroticism",100,24,25,45,43,42,NA,0
30,24,"agreeableness",20,29,NA,33,41,24,30,0
30,25,"neuroticism",40,28,45,NA,44,46,43,0
30,26,"extraversion",100,10,21,19,20,21,NA,0
30,27,"conscientiousness",60,33,34,33,NA,33,24,0
30,28,"extraversion",80,18,37,39,28,NA,40,0
30,29,"openness",60,48,30,49,NA,48,23,0
30,30,"conscientiousness",100,72,70,39,40,22,NA,0
